. . 导出了 "ZYHBCS"."PUB_PRINT_TEMPLATE"               1002. KB    1473 行
. . 导出了 "ZYHBCS"."PUB_SYSINIT"                      1011. KB    5581 行
. . 导出了 "ZYHBCS"."TB_MD_EXCELFILE"                  703.6 KB       5 行
. . 导出了 "ZYHBCS"."BI_MD_COLUMN"                     793.3 KB    4375 行
. . 导出了 "ZYHBCS"."HI_PSNJOB"                        737.8 KB    1727 行
. . 导出了 "ZYHBCS"."HR_DATAINTFACE_B"                 808.0 KB    6958 行
. . 导出了 "ZYHBCS"."IA_PERIODNAB"                     774.8 KB    1855 行
. . 导出了 "ZYHBCS"."PUB_BILLTEMPLET_T"                744.5 KB    5384 行
. . 导出了 "ZYHBCS"."PUB_SYSTEMPLATE"                  704.0 KB    5557 行
. . 导出了 "ZYHBCS"."PUB_SYSTEMPLATE_BASE"             689.3 KB    6659 行
. . 导出了 "ZYHBCS"."PUB_WF_INSTANCE"                  391.4 KB     859 行
. . 导出了 "ZYHBCS"."PUB_WF_TASK"                      672.1 KB    3310 行
. . 导出了 "ZYHBCS"."SM_BUSIACTIVEREG"                 727.2 KB    5289 行
. . 导出了 "ZYHBCS"."TB_NODEPUBLISH"                   16.85 KB      12 行
. . 导出了 "ZYHBCS"."TB_RULE_FORMULA"                  33.12 KB      17 行
. . 导出了 "ZYHBCS"."ADP_TASKTRANSCNT"                 24.74 KB     194 行
. . 导出了 "ZYHBCS"."AP_PAYBILL"                       453.6 KB     553 行
. . 导出了 "ZYHBCS"."BD_ACCASS"                        535.7 KB    3900 行
. . 导出了 "ZYHBCS"."BD_PROJECT"                       478.1 KB     662 行
. . 导出了 "ZYHBCS"."BD_WORKCALENDARDATE"              470.2 KB    5113 行
. . 导出了 "ZYHBCS"."CP_QUERY_TEMPLATE"                27.32 KB      43 行
. . 导出了 "ZYHBCS"."FIP_DOCVIEW_B"                    453.8 KB    2997 行
. . 导出了 "ZYHBCS"."HI_PSNDOC_CTRT"                   390.4 KB    1186 行
. . 导出了 "ZYHBCS"."HR_INFOSET_ITEM"                  607.6 KB    1980 行
. . 导出了 "ZYHBCS"."HR_RPT_DEF"                       170.3 KB      15 行
. . 导出了 "ZYHBCS"."IC_OPENBAL_L"                     518.0 KB    2806 行
. . 导出了 "ZYHBCS"."IUFO_HR_SCITEM"                   38.46 KB      82 行
